Compiler,Opt,Test,N,MinTime_Sec,MeanTime_Sec,GFLOPS_Min,GFLOPS_Mean,FMA,Aligned,Unaligned,Status
gcc,-O2,Restrict,1024,0.216514,0.21779,9.918,9.860,0,0,0,REF
gcc,-O2,Restrict,2048,2.903999,2.91958,5.915,5.884,0,0,0,REF
gcc,-O2,Restrict,3072,10.874393,11.0098,5.331,5.266,0,0,0,REF
gcc,-O2,Restrict,4096,26.921003,27.1543,5.105,5.061,0,0,0,REF
gcc,-O2,Restrict,6144,96.749028,96.8457,4.794,4.789,0,0,0,REF
gcc,-O2,Restrict,8192,230.240122,230.354,4.775,4.773,0,0,0,REF
gcc,-O2,Restrict,10240,450.381525,450.663,4.768,4.765,0,0,0,REF
gcc,-O2,Restrict,12288,779.668975,779.88,4.759,4.758,0,0,0,REF
gcc,-O2,Align,1024,0.327027,0.327224,6.566,6.562,0,0,0,REF
gcc,-O2,Align,2048,3.639328,3.69723,4.720,4.646,0,0,0,REF
gcc,-O2,Align,3072,13.989351,13.998,4.144,4.142,0,0,0,REF
gcc,-O2,Align,4096,34.736771,34.7947,3.956,3.949,0,0,0,REF
gcc,-O2,Align,6144,120.556443,120.572,3.847,3.847,0,0,0,REF
gcc,-O2,Align,8192,286.941436,287.843,3.831,3.819,0,0,0,REF
gcc,-O2,Align,10240,560.853523,561.027,3.828,3.827,0,0,0,REF
gcc,-O2,Align,12288,970.039075,970.42,3.825,3.823,0,0,0,REF
gcc,-O2,Ultimate,1024,0.327721,0.327792,6.552,6.551,0,0,0,REF
gcc,-O2,Ultimate,2048,3.673217,3.71553,4.677,4.623,0,0,0,REF
gcc,-O2,Ultimate,3072,13.957820,14.0043,4.154,4.140,0,0,0,REF
gcc,-O2,Ultimate,4096,34.723981,34.8763,3.958,3.940,0,0,0,REF
gcc,-O2,Ultimate,6144,120.488111,120.507,3.849,3.849,0,0,0,REF
gcc,-O2,Ultimate,8192,286.798440,286.825,3.833,3.833,0,0,0,REF
gcc,-O2,Ultimate,10240,561.040228,561.977,3.827,3.821,0,0,0,REF
gcc,-O2,Ultimate,12288,998.099385,999.103,3.717,3.714,0,0,0,REF
gcc,-O3,Restrict,1024,0.158994,0.159075,13.506,13.499,0,0,4,REF
gcc,-O3,Restrict,2048,1.728821,1.7381,9.937,9.884,0,0,4,REF
gcc,-O3,Restrict,3072,7.886473,7.934,7.352,7.308,0,0,4,REF
gcc,-O3,Restrict,4096,19.491690,19.7189,7.051,6.969,0,0,4,REF
gcc,-O3,Restrict,6144,68.890288,68.967,6.733,6.725,0,0,4,REF
gcc,-O3,Restrict,8192,164.416674,165.259,6.687,6.653,0,0,4,REF
gcc,-O3,Restrict,10240,322.601075,322.625,6.656,6.656,0,0,4,REF
gcc,-O3,Restrict,12288,562.007098,562.163,6.602,6.601,0,0,4,REF
gcc,-O3,Align,1024,0.169563,0.169708,12.664,12.653,0,0,4,REF
gcc,-O3,Align,2048,2.069553,2.09663,8.301,8.194,0,0,4,REF
gcc,-O3,Align,3072,9.311117,9.33523,6.227,6.211,0,0,4,REF
gcc,-O3,Align,4096,23.430807,23.5364,5.865,5.839,0,0,4,REF
gcc,-O3,Align,6144,87.443365,87.471,5.304,5.302,0,0,4,REF
gcc,-O3,Align,8192,208.806399,208.887,5.265,5.263,0,0,4,REF
gcc,-O3,Align,10240,408.825309,409.043,5.252,5.250,0,0,4,REF
gcc,-O3,Align,12288,707.039902,707.057,5.248,5.248,0,0,4,REF
gcc,-O3,Ultimate,1024,0.169569,0.171735,12.664,12.504,0,0,4,REF
gcc,-O3,Ultimate,2048,2.079677,2.13156,8.260,8.059,0,0,4,REF
gcc,-O3,Ultimate,3072,9.280018,9.3097,6.248,6.228,0,0,4,REF
gcc,-O3,Ultimate,4096,23.341270,23.3789,5.888,5.878,0,0,4,REF
gcc,-O3,Ultimate,6144,87.329945,87.3363,5.311,5.311,0,0,4,REF
gcc,-O3,Ultimate,8192,208.606473,209.377,5.270,5.251,0,0,4,REF
gcc,-O3,Ultimate,10240,409.163824,409.44,5.248,5.244,0,0,4,REF
gcc,-O3,Ultimate,12288,706.833252,707.43,5.249,5.245,0,0,4,REF
icc,-O2,Restrict,1024,0.187242,0.187756,11.469,11.437,0,59,21,OK
icc,-O2,Restrict,2048,2.293326,2.41631,7.491,7.109,0,59,21,OK
icc,-O2,Restrict,3072,10.048099,10.0506,5.770,5.769,0,59,21,OK
icc,-O2,Restrict,4096,24.995901,25.0006,5.498,5.497,0,59,21,OK
icc,-O2,Restrict,5000,48.728508,48.889,5.130,5.113,0,59,21,OK
icc,-O2,Restrict,6144,91.694704,91.747,5.058,5.055,0,59,21,OK
icc,-O2,Restrict,8192,217.943150,218.037,5.044,5.042,0,59,21,OK
icc,-O2,Restrict,10240,423.374916,423.737,5.072,5.067,0,59,21,OK
icc,-O2,Restrict,12288,731.984954,732.137,5.069,5.068,0,59,21,OK
icc,-O2,Align,1024,0.188532,0.188605,11.390,11.386,0,59,21,OK
icc,-O2,Align,2048,2.373231,2.43018,7.239,7.069,0,59,21,OK
icc,-O2,Align,3072,10.068142,10.0731,5.758,5.756,0,59,21,OK
icc,-O2,Align,4096,24.935253,24.9445,5.511,5.509,0,59,21,OK
icc,-O2,Align,6144,90.891962,90.9103,5.103,5.102,0,59,21,OK
icc,-O2,Align,8192,211.147269,214.728,5.207,5.120,0,59,21,OK
icc,-O2,Align,10240,424.284188,425.107,5.061,5.051,0,59,21,OK
icc,-O2,Align,12288,732.768201,733.02,5.064,5.062,0,59,21,OK
icc,-O2,Ultimate,1024,0.188329,0.188635,11.402,11.384,0,59,21,OK
icc,-O2,Ultimate,2048,2.371194,2.40154,7.245,7.153,0,59,21,OK
icc,-O2,Ultimate,3072,10.092733,10.1171,5.744,5.731,0,59,21,OK
icc,-O2,Ultimate,4096,24.994957,25.0076,5.498,5.495,0,59,21,OK
icc,-O2,Ultimate,6144,91.047671,91.058,5.094,5.094,0,59,21,OK
icc,-O2,Ultimate,8192,216.821514,216.879,5.071,5.069,0,59,21,OK
icc,-O2,Ultimate,10240,424.221523,424.363,5.062,5.060,0,59,21,OK
icc,-O2,Ultimate,12288,733.777780,733.88,5.057,5.056,0,59,21,OK
icc,-O3,Restrict,1024,0.135887,0.136097,15.803,15.779,14,57,27,OK
icc,-O3,Restrict,2048,1.566634,1.69594,10.966,10.129,14,57,27,OK
icc,-O3,Restrict,3072,8.243185,8.26117,7.033,7.018,14,57,27,OK
icc,-O3,Restrict,4096,20.289168,20.3225,6.774,6.762,14,57,27,OK
icc,-O3,Restrict,6144,69.681403,69.7543,6.656,6.649,14,57,27,OK
icc,-O3,Restrict,8192,166.493048,167.041,6.603,6.582,14,57,27,OK
icc,-O3,Restrict,10240,326.841042,327.373,6.570,6.559,14,57,27,OK
icc,-O3,Restrict,12288,580.226008,580.48,6.395,6.392,14,57,27,OK
icc,-O3,Align,1024,0.135400,0.135914,15.860,15.800,14,57,27,OK
icc,-O3,Align,2048,1.666697,1.70216,10.307,10.092,14,57,27,OK
icc,-O3,Align,3072,8.324674,8.34013,6.965,6.952,14,57,27,OK
icc,-O3,Align,4096,20.471360,20.4976,6.713,6.705,14,57,27,OK
icc,-O3,Align,6144,70.404021,70.437,6.588,6.585,14,57,27,OK
