CPU,Compiler,Opt,N,Tile,MinTime_Sec,MeanTime_Sec,GFLOPS_Min,GFLOPS_Mean,Status,Simd_Ops,FMA,Aligned,Unaligned
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,1024,32,0.118079,0.119809,18.186,17.924,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,1024,64,0.109260,0.110052,19.654,19.513,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,1024,128,0.101066,0.101249,21.248,21.209,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,2048,32,0.954932,0.956347,17.990,17.964,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,2048,64,0.882049,0.884057,19.477,19.432,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,2048,128,1.639257,1.6544,10.480,10.384,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,3072,32,3.284610,3.33133,17.652,17.405,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,3072,64,2.960087,2.99261,19.587,19.375,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,3072,128,2.713722,2.71474,21.366,21.358,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,4096,32,7.733443,7.7424,17.772,17.751,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,4096,64,13.891542,13.9296,9.893,9.866,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,4096,128,15.000675,15.0084,9.162,9.157,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,6144,32,26.375198,26.398,17.586,17.571,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,6144,64,24.010886,24.1934,19.318,19.172,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,6144,128,46.693027,46.9347,9.934,9.883,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,8192,32,117.798050,118.532,9.333,9.276,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,8192,64,133.675111,134.322,8.225,8.185,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,8192,128,123.343430,123.447,8.914,8.906,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,10240,32,122.159823,123.479,17.579,17.391,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,10240,64,110.819526,111.715,19.378,19.222,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,10240,128,220.558902,220.899,9.736,9.721,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,12288,32,212.719896,212.822,17.444,17.436,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,12288,64,371.213003,371.437,9.996,9.990,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O2,12288,128,413.900031,413.987,8.965,8.963,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,1024,32,0.118484,0.118601,18.124,18.106,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,1024,64,0.098525,0.0987637,21.796,21.743,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,1024,128,0.087903,0.0881247,24.430,24.368,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,2048,32,0.975878,0.976247,17.604,17.597,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,2048,64,0.798877,0.80039,21.505,21.464,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,2048,128,1.578817,1.58348,10.881,10.849,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,3072,32,3.229281,3.23065,17.955,17.947,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,3072,64,3.149487,3.1896,18.410,18.178,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,3072,128,2.316432,2.31875,25.030,25.005,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,4096,32,7.850667,7.85663,17.506,17.493,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,4096,64,13.763710,13.7772,9.985,9.975,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,4096,128,14.315944,14.3304,9.600,9.590,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,6144,32,26.709325,28.5538,17.366,16.244,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,6144,64,25.016234,26.259,18.542,17.664,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,6144,128,44.563424,44.6543,10.408,10.387,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,8192,32,125.078724,130.452,8.790,8.428,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,8192,64,137.603936,137.764,7.990,7.981,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,8192,128,118.182150,118.197,9.303,9.302,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,10240,32,123.799254,123.877,17.346,17.335,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,10240,64,99.437853,99.5477,21.596,21.572,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,10240,128,210.782423,213.513,10.188,10.057,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,12288,32,213.291813,213.826,17.398,17.354,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,12288,64,373.999899,374.227,9.922,9.916,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O2,12288,128,395.511520,397.607,9.382,9.332,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,1024,32,0.074372,0.0748593,28.874,28.686,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,1024,64,0.070852,0.0710777,30.309,30.213,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,1024,128,0.069520,0.0697383,30.890,30.793,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,2048,32,0.611222,0.61204,28.107,28.069,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,2048,64,0.571217,0.57184,30.075,30.043,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,2048,128,1.305649,1.30953,13.158,13.119,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,3072,32,2.047833,2.04951,28.313,28.290,REF,90,9,84,60
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,3072,64,1.909203,1.90948,30.369,30.365,REF,90,9,84,60
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,3072,128,1.872259,1.87325,30.969,30.952,REF,90,9,84,60
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,4096,32,4.952324,4.95273,27.752,27.750,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,4096,64,12.424772,12.4325,11.061,11.054,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,4096,128,11.573303,11.596,11.875,11.852,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,6144,32,16.615264,16.6236,27.917,27.903,REF,90,9,84,60
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,6144,64,15.347569,15.3478,30.223,30.222,REF,90,9,84,60
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,6144,128,36.974698,37.0867,12.545,12.507,REF,90,9,84,60
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,8192,32,106.481989,106.645,10.325,10.310,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,8192,64,116.877105,116.898,9.407,9.405,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,8192,128,93.134566,93.1423,11.805,11.804,REF,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,10240,32,76.893503,76.8987,27.928,27.926,REF,86,9,84,56
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,10240,64,70.914222,70.9153,30.282,30.282,REF,86,9,84,56
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,10240,128,173.898576,174.374,12.349,12.315,REF,86,9,84,56
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,12288,32,132.890092,132.894,27.924,27.923,REF,90,9,84,60
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,12288,64,338.379034,338.437,10.966,10.964,REF,90,9,84,60
12th Gen Intel(R) Core(TM) i9-12900K,icx,O2,12288,128,310.045865,312.024,11.968,11.892,REF,90,9,84,60
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,1024,32,0.114788,0.115195,18.708,18.642,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,1024,64,0.111934,0.122706,19.185,17.501,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,1024,128,0.126126,0.128791,17.026,16.674,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,2048,32,0.937918,0.93968,18.317,18.282,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,2048,64,0.900184,0.90131,19.084,19.060,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,2048,128,1.672857,1.69073,10.269,10.161,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,3072,32,3.122109,3.12387,18.571,18.560,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,3072,64,2.962777,2.97968,19.570,19.459,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,3072,128,2.698067,2.70094,21.490,21.467,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,4096,32,7.600827,7.6039,18.082,18.074,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,4096,64,13.730266,13.7396,10.009,10.003,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,4096,128,14.981834,14.9986,9.173,9.163,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,6144,32,25.116779,25.1257,18.467,18.461,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,6144,64,23.831280,23.9477,19.464,19.369,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,6144,128,46.439077,46.529,9.988,9.969,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,8192,32,120.210164,121.568,9.146,9.044,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,8192,64,133.243669,133.365,8.251,8.244,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,8192,128,123.244354,123.812,8.921,8.880,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,10240,32,116.264312,116.329,18.470,18.460,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,10240,64,110.116775,110.667,19.501,19.404,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,10240,128,219.890774,220.365,9.766,9.745,REF,3,0,0,1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,O3,12288,32,203.287425,203.333,18.254,18.250,REF,3,0,0,1
