==================================================================
       SEQUENTIAL BASELINE MATRIX MULTIPLICATION REPORT
==================================================================
Date: Tue 10 Mar 14:52:59 CET 2026
CPU:  12th Gen Intel(R) Core(TM) i9-12900K
L3:   30 MiB (1 instance)
------------------------------------------------------------------

Compiler: gcc (Debian 12.2.0-14+deb12u1) 12.2.0

Compiler: Intel(R) oneAPI DPC++/C++ Compiler 2023.2.0 (2023.2.0.20230721)

Compiler: icc (ICC) 2021.10.0 20230609

------------------------------------------------------------------
PERFORMANCE SUMMARY TABLE:
------------------------------------------------------------------
Compiler   | Opt          | Size   | MinTime(s)   | MeanTime(s)  | Result  
------------------------------------------------------------------
gcc        | O2           | 1024   | 0.215222     | 0.215887     | REF     
gcc        | O2           | 2048   | 2.758101     | 2.7697       | REF     
gcc        | O2           | 3072   | 10.854396    | 10.8711      | REF     
gcc        | O2           | 4096   | 26.921846    | 26.9419      | REF     
gcc        | O2           | 6144   | 96.691399    | 96.7743      | REF     
gcc        | O2           | 8192   | 230.231101   | 230.278      | REF     
gcc        | O2           | 10240  | 450.383881   | 450.61       | REF     
gcc        | O2           | 12288  | 780.346210   | 781.12       | REF     
gcc        | O3           | 1024   | 0.171265     | 0.171505     | PASS    
gcc        | O3           | 2048   | 1.975010     | 1.99221      | PASS    
gcc        | O3           | 3072   | 8.234220     | 8.27837      | PASS    
gcc        | O3           | 4096   | 20.196017    | 20.4303      | PASS    
gcc        | O3           | 6144   | 70.266935    | 70.3073      | PASS    
gcc        | O3           | 8192   | 173.465866   | 174.862      | PASS    
gcc        | O3           | 10240  | 330.345127   | 331.03       | PASS    
gcc        | O3           | 12288  | 583.297076   | 583.783      | PASS    
gcc        | O3_Native    | 1024   | 0.158640     | 0.159046     | PASS    
gcc        | O3_Native    | 2048   | 1.776445     | 1.79408      | PASS    
gcc        | O3_Native    | 3072   | 7.999846     | 8.1257       | PASS    
gcc        | O3_Native    | 4096   | 19.508405    | 20.1636      | PASS    
gcc        | O3_Native    | 6144   | 69.397754    | 69.85        | PASS    
gcc        | O3_Native    | 8192   | 163.154744   | 165.3        | PASS    
gcc        | O3_Native    | 10240  | 323.161907   | 323.388      | PASS    
gcc        | O3_Native    | 12288  | 562.700823   | 563.39       | PASS    
icx        | O2           | 1024   | 0.207217     | 0.207498     | PASS    
icx        | O2           | 2048   | 2.724857     | 2.81205      | PASS    
icx        | O2           | 3072   | 10.811942    | 10.9317      | PASS    
icx        | O2           | 4096   | 26.550786    | 26.559       | PASS    
icx        | O2           | 6144   | 94.748152    | 94.759       | PASS    
icx        | O2           | 8192   | 223.985470   | 224.274      | PASS    
icx        | O2           | 10240  | 438.140031   | 438.61       | PASS    
icx        | O2           | 12288  | 757.800268   | 758.967      | PASS    
icx        | O3           | 1024   | 0.206688     | 0.208047     | PASS    
icx        | O3           | 2048   | 2.788697     | 2.86441      | PASS    
icx        | O3           | 3072   | 10.736558    | 10.7449      | REF     
icx        | O3           | 4096   | 26.467531    | 26.485       | REF     
icx        | O3           | 6144   | 94.587846    | 94.6593      | REF     
icx        | O3           | 8192   | 224.739351   | 224.79       | REF     
icx        | O3           | 10240  | 438.712258   | 439.077      | REF     
icx        | O3           | 12288  | 759.012096   | 759.71       | REF     
icx        | O3_Host      | 1024   | 0.054563     | 0.055817     | REF     
icx        | O3_Host      | 2048   | 0.433185     | 0.437943     | REF     
icx        | O3_Host      | 3072   | 1.390309     | 1.4463       | PASS    
icx        | O3_Host      | 4096   | 6.035463     | 6.05647      | PASS    
icx        | O3_Host      | 6144   | 11.401938    | 11.6144      | PASS    
icx        | O3_Host      | 8192   | 51.926299    | 52.1457      | PASS    
icx        | O3_Host      | 10240  | 52.788048    | 55.0697      | PASS    
icx        | O3_Host      | 12288  | 163.392755   | 169.065      | PASS    
icc        | O2           | 1024   | 0.186446     | 0.186556     | PASS    
icc        | O2           | 2048   | 2.351414     | 2.42698      | PASS    
icc        | O2           | 3072   | 10.082633    | 10.0844      | PASS    
icc        | O2           | 4096   | 25.113249    | 25.1253      | PASS    
icc        | O2           | 6144   | 91.141346    | 91.1753      | PASS    
icc        | O2           | 8192   | 217.089871   | 217.123      | PASS    
icc        | O2           | 10240  | 424.552043   | 424.807      | PASS    
icc        | O2           | 12288  | 732.634403   | 733.867      | PASS    
icc        | O3_Host      | 1024   | 0.135440     | 0.135978     | PASS    
icc        | O3_Host      | 2048   | 1.627685     | 1.67232      | PASS    
icc        | O3_Host      | 3072   | 8.298523     | 8.3334       | PASS    
icc        | O3_Host      | 4096   | 20.394435    | 20.4644      | PASS    
icc        | O3_Host      | 6144   | 70.163952    | 70.169       | PASS    
icc        | O3_Host      | 8192   | 166.714428   | 167.606      | PASS    
icc        | O3_Host      | 10240  | 327.292176   | 327.654      | PASS    
icc        | O3_Host      | 12288  | 579.594187   | 580.797      | PASS    
icc        | O3           | 1024   | 0.187095     | 0.18734      | REF     
icc        | O3           | 2048   | 2.366611     | 2.39379      | REF     
icc        | O3           | 3072   | 10.041584    | 10.1283      | REF     
icc        | O3           | 4096   | 25.069078    | 25.2497      | REF     
icc        | O3           | 6144   | 91.465940    | 91.572       | REF     
icc        | O3           | 8192   | 216.511494   | 217.134      | REF     
icc        | O3           | 10240  | 412.029936   | 419.687      | REF     
icc        | O3           | 12288  | 734.070019   | 734.293      | REF     
