Compiler,Opt,N,MinTime_s,MeanTime_s,GFLOPS_Min,GFLOPS_Mean,Simd_Ops,Result
gcc,O2,1024,0.215222,0.215887,9.9779,9.9472,0,REF
gcc,O2,2048,2.758101,2.7697,6.2288,6.2027,0,REF
gcc,O2,3072,10.854396,10.8711,5.3418,5.3335,0,REF
gcc,O2,4096,26.921846,26.9419,5.1051,5.1013,0,REF
gcc,O2,6144,96.691399,96.7743,4.7972,4.7931,0,REF
gcc,O2,8192,230.231101,230.278,4.7756,4.7747,0,REF
gcc,O2,10240,450.383881,450.61,4.7681,4.7657,0,REF
gcc,O2,12288,780.346210,781.12,4.7553,4.7506,0,REF
gcc,O3,1024,0.171265,0.171505,12.5389,12.5214,0,PASS
gcc,O3,2048,1.975010,1.99221,8.6986,8.6235,0,PASS
gcc,O3,3072,8.234220,8.27837,7.0415,7.0040,0,PASS
gcc,O3,4096,20.196017,20.4303,6.8052,6.7272,0,PASS
gcc,O3,6144,70.266935,70.3073,6.6013,6.5975,0,PASS
gcc,O3,8192,173.465866,174.862,6.3384,6.2878,0,PASS
gcc,O3,10240,330.345127,331.03,6.5007,6.4872,0,PASS
gcc,O3,12288,583.297076,583.783,6.3618,6.3565,0,PASS
gcc,O3_Native,1024,0.158640,0.159046,13.5368,13.5022,0,PASS
gcc,O3_Native,2048,1.776445,1.79408,9.6709,9.5758,0,PASS
gcc,O3_Native,3072,7.999846,8.1257,7.2478,7.1356,0,PASS
gcc,O3_Native,4096,19.508405,20.1636,7.0451,6.8161,0,PASS
gcc,O3_Native,6144,69.397754,69.85,6.6840,6.6407,0,PASS
gcc,O3_Native,8192,163.154744,165.3,6.7390,6.6516,0,PASS
gcc,O3_Native,10240,323.161907,323.388,6.6452,6.6405,0,PASS
gcc,O3_Native,12288,562.700823,563.39,6.5947,6.5866,0,PASS
icx,O2,1024,0.207217,0.207498,10.3634,10.3494,0,PASS
icx,O2,2048,2.724857,2.81205,6.3048,6.1093,0,PASS
icx,O2,3072,10.811942,10.9317,5.3627,5.3040,0,PASS
icx,O2,4096,26.550786,26.559,5.1764,5.1748,0,PASS
icx,O2,6144,94.748152,94.759,4.8956,4.8951,0,PASS
icx,O2,8192,223.985470,224.274,4.9088,4.9025,0,PASS
icx,O2,10240,438.140031,438.61,4.9013,4.8961,0,PASS
icx,O2,12288,757.800268,758.967,4.8968,4.8893,0,PASS
icx,O3,1024,0.206688,0.208047,10.3899,10.3221,0,PASS
icx,O3,2048,2.788697,2.86441,6.1605,5.9976,0,PASS
icx,O3,3072,10.736558,10.7449,5.4004,5.3962,5721,REF
icx,O3,4096,26.467531,26.485,5.1927,5.1893,5721,REF
icx,O3,6144,94.587846,94.6593,4.9039,4.9002,5721,REF
icx,O3,8192,224.739351,224.79,4.8923,4.8912,5721,REF
icx,O3,10240,438.712258,439.077,4.8949,4.8909,5721,REF
icx,O3,12288,759.012096,759.71,4.8890,4.8845,5721,REF
icx,O3_Host,1024,0.054563,0.055817,39.3578,38.4736,5868,REF
icx,O3_Host,2048,0.433185,0.437943,39.6594,39.2285,5868,REF
icx,O3_Host,3072,1.390309,1.4463,41.7044,40.0899,5867,PASS
icx,O3_Host,4096,6.035463,6.05647,22.7718,22.6929,5868,PASS
icx,O3_Host,6144,11.401938,11.6144,40.6822,39.9380,5867,PASS
icx,O3_Host,8192,51.926299,52.1457,21.1744,21.0853,5868,PASS
icx,O3_Host,10240,52.788048,55.0697,40.6812,38.9957,5867,PASS
icx,O3_Host,12288,163.392755,169.065,22.7112,21.9492,5867,PASS
icc,O2,1024,0.186446,0.186556,11.5179,11.5112,898,PASS
icc,O2,2048,2.351414,2.42698,7.3061,7.0787,898,PASS
icc,O2,3072,10.082633,10.0844,5.7506,5.7496,898,PASS
icc,O2,4096,25.113249,25.1253,5.4727,5.4701,898,PASS
icc,O2,6144,91.141346,91.1753,5.0894,5.0875,898,PASS
icc,O2,8192,217.089871,217.123,5.0647,5.0640,898,PASS
icc,O2,10240,424.552043,424.807,5.0582,5.0551,898,PASS
icc,O2,12288,732.634403,733.867,5.0650,5.0565,898,PASS
icc,O3_Host,1024,0.135440,0.135978,15.8556,15.7928,889,PASS
icc,O3_Host,2048,1.627685,1.67232,10.5547,10.2730,889,PASS
icc,O3_Host,3072,8.298523,8.3334,6.9870,6.9577,889,PASS
icc,O3_Host,4096,20.394435,20.4644,6.7390,6.7160,889,PASS
icc,O3_Host,6144,70.163952,70.169,6.6110,6.6105,889,PASS
icc,O3_Host,8192,166.714428,167.606,6.5951,6.5600,889,PASS
icc,O3_Host,10240,327.292176,327.654,6.5613,6.5541,889,PASS
icc,O3_Host,12288,579.594187,580.797,6.4024,6.3892,889,PASS
icc,O3,1024,0.187095,0.18734,11.4780,11.4630,898,REF
icc,O3,2048,2.366611,2.39379,7.2592,7.1768,898,REF
icc,O3,3072,10.041584,10.1283,5.7741,5.7247,898,REF
icc,O3,4096,25.069078,25.2497,5.4824,5.4431,898,REF
icc,O3,6144,91.465940,91.572,5.0713,5.0654,898,REF
icc,O3,8192,216.511494,217.134,5.0783,5.0637,898,REF
icc,O3,10240,412.029936,419.687,5.2119,5.1168,898,REF
icc,O3,12288,734.070019,734.293,5.0551,5.0536,898,REF
