RefKey,MD5
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N4096_P1_A1_RS1,edac3cd7199b04cd32b33032b5fbddcd
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N4096_P2_A1_RS1,b2431924437d31e1bfff9d4c0da38bbf
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N4096_P4_A1_RS1,b5089fd367e1c2e67b50bd73f21164f2
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N4096_P8_A1_RS1,68419762e75664ad8e4a936b8dde3e0d
base_P_ONLY_HT_0-15_N4096_P1_A1_RS1,edac3cd7199b04cd32b33032b5fbddcd
base_P_ONLY_HT_0-15_N4096_P2_A1_RS1,b2431924437d31e1bfff9d4c0da38bbf
base_P_ONLY_HT_0-15_N4096_P4_A1_RS1,b5089fd367e1c2e67b50bd73f21164f2
base_P_ONLY_HT_0-15_N4096_P8_A1_RS1,68419762e75664ad8e4a936b8dde3e0d
base_P_ONLY_HT_0-15_N4096_P16_A1_RS1,b657efc9e01e25e4057a783c3337c90f
base_E_ONLY_16-23_N4096_P1_A1_RS1,edac3cd7199b04cd32b33032b5fbddcd
base_E_ONLY_16-23_N4096_P2_A1_RS1,b2431924437d31e1bfff9d4c0da38bbf
base_E_ONLY_16-23_N4096_P4_A1_RS1,b5089fd367e1c2e67b50bd73f21164f2
base_E_ONLY_16-23_N4096_P8_A1_RS1,68419762e75664ad8e4a936b8dde3e0d
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N4096_P1_A1_RS1,edac3cd7199b04cd32b33032b5fbddcd
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N4096_P2_A1_RS1,b2431924437d31e1bfff9d4c0da38bbf
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N4096_P4_A1_RS1,b5089fd367e1c2e67b50bd73f21164f2
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N4096_P8_A1_RS1,68419762e75664ad8e4a936b8dde3e0d
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N4096_P16_A1_RS1,b657efc9e01e25e4057a783c3337c90f
base_ALL_LOGICAL_0-23_N4096_P1_A1_RS1,edac3cd7199b04cd32b33032b5fbddcd
base_ALL_LOGICAL_0-23_N4096_P2_A1_RS1,b2431924437d31e1bfff9d4c0da38bbf
base_ALL_LOGICAL_0-23_N4096_P4_A1_RS1,b5089fd367e1c2e67b50bd73f21164f2
base_ALL_LOGICAL_0-23_N4096_P8_A1_RS1,68419762e75664ad8e4a936b8dde3e0d
base_ALL_LOGICAL_0-23_N4096_P16_A1_RS1,b657efc9e01e25e4057a783c3337c90f
base_ALL_LOGICAL_0-23_N4096_P24_A1_RS1,552f24eb98d194e741e6b988b88914c2
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N5000_P1_A1_RS1,9327fba4f5c54483afbcb2dc4f0c7894
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N5000_P2_A1_RS1,ca9347e4ff6d8f572821a3e4f677b103
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N5000_P4_A1_RS1,5487542f8262c9e125b85b2943b81d0d
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N5000_P8_A1_RS1,50cb60b6b26854f831ec01ec095cccff
base_P_ONLY_HT_0-15_N5000_P1_A1_RS1,9327fba4f5c54483afbcb2dc4f0c7894
base_P_ONLY_HT_0-15_N5000_P2_A1_RS1,ca9347e4ff6d8f572821a3e4f677b103
base_P_ONLY_HT_0-15_N5000_P4_A1_RS1,5487542f8262c9e125b85b2943b81d0d
base_P_ONLY_HT_0-15_N5000_P8_A1_RS1,50cb60b6b26854f831ec01ec095cccff
base_P_ONLY_HT_0-15_N5000_P16_A1_RS1,87be47e66d4247b9cd058021ea13bc28
base_E_ONLY_16-23_N5000_P1_A1_RS1,9327fba4f5c54483afbcb2dc4f0c7894
base_E_ONLY_16-23_N5000_P2_A1_RS1,ca9347e4ff6d8f572821a3e4f677b103
base_E_ONLY_16-23_N5000_P4_A1_RS1,5487542f8262c9e125b85b2943b81d0d
base_E_ONLY_16-23_N5000_P8_A1_RS1,50cb60b6b26854f831ec01ec095cccff
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N5000_P1_A1_RS1,9327fba4f5c54483afbcb2dc4f0c7894
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N5000_P2_A1_RS1,ca9347e4ff6d8f572821a3e4f677b103
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N5000_P4_A1_RS1,5487542f8262c9e125b85b2943b81d0d
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N5000_P8_A1_RS1,50cb60b6b26854f831ec01ec095cccff
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N5000_P16_A1_RS1,87be47e66d4247b9cd058021ea13bc28
base_ALL_LOGICAL_0-23_N5000_P1_A1_RS1,9327fba4f5c54483afbcb2dc4f0c7894
base_ALL_LOGICAL_0-23_N5000_P2_A1_RS1,ca9347e4ff6d8f572821a3e4f677b103
base_ALL_LOGICAL_0-23_N5000_P4_A1_RS1,5487542f8262c9e125b85b2943b81d0d
base_ALL_LOGICAL_0-23_N5000_P8_A1_RS1,50cb60b6b26854f831ec01ec095cccff
base_ALL_LOGICAL_0-23_N5000_P16_A1_RS1,87be47e66d4247b9cd058021ea13bc28
base_ALL_LOGICAL_0-23_N5000_P24_A1_RS1,cfb6472bc7feb3b93b16561429875769
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N6144_P1_A1_RS1,f000da4225f235ac3d2d59cdfc3d6617
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N6144_P2_A1_RS1,5df1e2aa9b6c90da5550d0db0deddd4d
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N6144_P4_A1_RS1,3b5c0c8e4f7e604c5d720e23372d4f73
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N6144_P8_A1_RS1,eda1d4132ad4834443208669b828be3e
base_P_ONLY_HT_0-15_N6144_P1_A1_RS1,f000da4225f235ac3d2d59cdfc3d6617
base_P_ONLY_HT_0-15_N6144_P2_A1_RS1,5df1e2aa9b6c90da5550d0db0deddd4d
base_P_ONLY_HT_0-15_N6144_P4_A1_RS1,3b5c0c8e4f7e604c5d720e23372d4f73
base_P_ONLY_HT_0-15_N6144_P8_A1_RS1,eda1d4132ad4834443208669b828be3e
base_P_ONLY_HT_0-15_N6144_P16_A1_RS1,88bbff5200e25ace0a60da22702fee13
base_E_ONLY_16-23_N6144_P1_A1_RS1,f000da4225f235ac3d2d59cdfc3d6617
base_E_ONLY_16-23_N6144_P2_A1_RS1,5df1e2aa9b6c90da5550d0db0deddd4d
