ProcessorModel,Toolchain,OptimizationFlags,MatrixOrder,WorldRanks,BlockCyclicTile,AlignedAlloc,RestrictQual,Elapsed_s,GFLOPS,Speedup,Efficiency_pct
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",6144,1,32,1,1,7.460969,62.171,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",6144,2,32,1,1,4.039770,114.822,1.847,92.35
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",6144,4,32,1,1,2.373423,195.438,3.144,78.60
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",6144,8,32,1,1,2.531194,183.256,2.948,36.85
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",6144,16,32,1,1,2.445604,189.669,3.051,19.07
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",6144,24,32,1,1,2.218359,209.099,3.363,14.01
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",8192,1,32,1,1,18.379510,59.823,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",8192,2,32,1,1,11.265348,97.601,1.632,81.60
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",8192,4,32,1,1,6.670925,164.821,2.755,68.88
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",8192,8,32,1,1,5.175958,212.427,3.551,44.39
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",8192,16,32,1,1,5.320668,206.649,3.454,21.59
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",8192,24,32,1,1,5.698182,192.958,3.226,13.44
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",10240,1,32,1,1,34.401334,62.424,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",10240,2,32,1,1,19.633460,109.379,1.752,87.60
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",10240,4,32,1,1,10.936651,196.357,3.146,78.65
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",10240,8,32,1,1,11.690028,183.702,2.943,36.79
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",10240,16,32,1,1,11.061111,194.147,3.110,19.44
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",10240,24,32,1,1,11.759514,182.617,2.925,12.19
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",12288,1,32,1,1,59.291659,62.586,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",12288,2,32,1,1,35.165897,105.524,1.686,84.30
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",12288,4,32,1,1,19.523633,190.070,3.037,75.92
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",12288,8,32,1,1,17.092792,217.100,3.469,43.36
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",12288,16,32,1,1,17.309822,214.378,3.425,21.41
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",12288,24,32,1,1,17.794452,208.540,3.332,13.88
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",15000,1,32,1,1,107.953037,62.527,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",15000,2,32,1,1,61.355275,110.015,1.759,87.95
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",15000,4,32,1,1,35.460546,190.352,3.044,76.10
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",15000,8,32,1,1,32.946065,204.880,3.277,40.96
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",15000,16,32,1,1,32.544700,207.407,3.317,20.73
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",15000,24,32,1,1,36.358408,185.652,2.969,12.37
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",6144,1,64,1,1,7.502117,61.830,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",6144,2,64,1,1,4.446381,104.322,1.687,84.35
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",6144,4,64,1,1,2.384588,194.523,3.146,78.65
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",6144,8,64,1,1,1.862719,249.021,4.028,50.35
