Variant,Backend_CC,N,BlockSize,CoreSetName,Ranks,Time_Min_s,Time_Mean_s,Time_Max_s,Comm_Time_s,Comp_Max_s,Comp_Min_s,Imbalance_Ratio,GFLOPS_Min,GFLOPS_Mean,GFLOPS_Reported,Speedup_Mean,Efficiency_Mean,Efficiency_Mean_Pct,Status,Compile_Flags,MPIRUN_Cmd
tiled,icc,4096,32,ALL_LOGICAL,1,8.988367,9.23497,9.620478,0.032972,9.587506,9.587506,1.0,15.291,14.882,14.286083,1.0,1.0,100.0,REF,-std=c11 -O3 -qopenmp-simd -xHost -DN=4096 -DBLOCK_SIZE=32 -DTIME -DVERIFY -DALIGN -DRESTRICT -funroll-loops,mpirun -genv I_MPI_PIN=1 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0-23 -np 1 --bind-to core /tmp/mpi_tiled_imA5ZF/app
tiled,icc,4096,32,ALL_LOGICAL,2,4.239174,4.62697,4.88128,0.839406,4.695904,3.921009,1.197626,32.421,29.704,28.871128,1.9959,0.99795,99.8,REF,-std=c11 -O3 -qopenmp-simd -xHost -DN=4096 -DBLOCK_SIZE=32 -DTIME -DVERIFY -DALIGN -DRESTRICT -funroll-loops,mpirun -genv I_MPI_PIN=1 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0-23 -np 2 --bind-to core /tmp/mpi_tiled_014mdt/app
tiled,icc,4096,32,ALL_LOGICAL,4,2.366732,2.55293,2.657923,0.15936,2.319033,2.158666,1.07429,58.071,53.836,58.071192,3.6174,0.90435,90.44,REF,-std=c11 -O3 -qopenmp-simd -xHost -DN=4096 -DBLOCK_SIZE=32 -DTIME -DVERIFY -DALIGN -DRESTRICT -funroll-loops,mpirun -genv I_MPI_PIN=1 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0-23 -np 4 --bind-to core /tmp/mpi_tiled_TgW9Bd/app
tiled,icc,4096,32,ALL_LOGICAL,8,2.230811,2.57542,2.768033,1.594754,2.680892,1.114494,2.405479,61.609,53.366,49.652205,3.585811,0.448226,44.82,REF,-std=c11 -O3 -qopenmp-simd -xHost -DN=4096 -DBLOCK_SIZE=32 -DTIME -DVERIFY -DALIGN -DRESTRICT -funroll-loops,mpirun -genv I_MPI_PIN=1 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0-23 -np 8 --bind-to core /tmp/mpi_tiled_EgJMsp/app
tiled,icc,4096,32,ALL_LOGICAL,16,2.392289,2.53935,2.795707,1.787083,2.275972,0.642907,3.540128,57.451,54.124,56.557756,3.636746,0.227297,22.73,REF,-std=c11 -O3 -qopenmp-simd -xHost -DN=4096 -DBLOCK_SIZE=32 -DTIME -DVERIFY -DALIGN -DRESTRICT -funroll-loops,mpirun -genv I_MPI_PIN=1 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0-23 -np 16 --bind-to core /tmp/mpi_tiled_dZthne/app
tiled,icc,4096,32,ALL_LOGICAL,24,2.873709,4.4067,6.007223,2.198893,1.764572,0.600685,2.937599,47.826,31.189,47.826328,2.095666,0.087319,8.73,REF,-std=c11 -O3 -qopenmp-simd -xHost -DN=4096 -DBLOCK_SIZE=32 -DTIME -DVERIFY -DALIGN -DRESTRICT -funroll-loops,mpirun -genv I_MPI_PIN=1 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0-23 -np 24 --bind-to core /tmp/mpi_tiled_B9i3d7/app
tiled,icc,4096,32,E_ONLY,1,8.473238,8.91957,9.20831,0.029662,8.443576,8.443576,1.0,16.22,15.409,16.220357,1.0,1.0,100.0,REF,-std=c11 -O3 -qopenmp-simd -xHost -DN=4096 -DBLOCK_SIZE=32 -DTIME -DVERIFY -DALIGN -DRESTRICT -funroll-loops,mpirun -genv I_MPI_PIN=1 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=16-23 -np 1 --bind-to core /tmp/mpi_tiled_6dfwuP/app
tiled,icc,4096,32,E_ONLY,2,4.057187,4.4029,4.859766,0.771772,4.809338,4.087978,1.176459,33.875,31.216,28.280982,2.02584,1.01292,101.29,REF,-std=c11 -O3 -qopenmp-simd -xHost -DN=4096 -DBLOCK_SIZE=32 -DTIME -DVERIFY -DALIGN -DRESTRICT -funroll-loops,mpirun -genv I_MPI_PIN=1 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=16-23 -np 2 --bind-to core /tmp/mpi_tiled_byy9ew/app
tiled,icc,4096,32,E_ONLY,4,2.184164,2.48283,2.757786,0.635795,2.705202,2.080903,1.300013,62.925,55.356,49.836694,3.592501,0.898125,89.81,REF,-std=c11 -O3 -qopenmp-simd -xHost -DN=4096 -DBLOCK_SIZE=32 -DTIME -DVERIFY -DALIGN -DRESTRICT -funroll-loops,mpirun -genv I_MPI_PIN=1 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=16-23 -np 4 --bind-to core /tmp/mpi_tiled_TxfFzF/app
tiled,icc,4096,32,E_ONLY,8,1.872191,2.31554,2.579265,0.565843,1.781227,1.013224,1.75798,73.411,59.355,73.410762,3.852047,0.481506,48.15,REF,-std=c11 -O3 -qopenmp-simd -xHost -DN=4096 -DBLOCK_SIZE=32 -DTIME -DVERIFY -DALIGN -DRESTRICT -funroll-loops,mpirun -genv I_MPI_PIN=1 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=16-23 -np 8 --bind-to core /tmp/mpi_tiled_jMQYT2/app
